airport_id,airport,airport_name,city,state
1,ABE,Lehigh Valley International Airport,Allentown/Bethlehem/Easton,PA
2,ABY,Southwest Georgia Regional Airport,Albany,GA
3,ACK,Nantucket Memorial Airport,Nantucket,MA
4,AEX,Alexandria International Airport,Alexandria,LA
5,AGS,Augusta Regional at Bush Field Airport,Augusta,GA
6,ALB,Albany International Airport,Albany,NY
7,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA
8,ATW,Appleton International Airport,Appleton,WI
9,AUS,Austin - Bergstrom International Airport,Austin,TX
10,AVL,Asheville Regional Airport,Asheville,NC
11,AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI
12,BGM,Greater Binghamton/Edwin A. Link Field Airport,Binghamton,NY
13,BGR,Bangor International Airport,Bangor,ME
14,BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL
15,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL
16,BNA,Nashville International Airport,Nashville,TN
17,BOS,Logan International Airport,Boston,MA
18,BQK,Brunswick Golden Isles Airport,Brunswick,GA
19,BTR,Baton Rouge Metropolitan/Ryan Field Airport,Baton Rouge,LA
20,BTV,Burlington International Airport,Burlington,VT
21,BUF,Buffalo Niagara International Airport,Buffalo,NY
22,BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,MD
23,CAE,Columbia Metropolitan Airport,Columbia,SC
24,CHA,Lovell Field Airport,Chattanooga,TN
25,CHO,Charlottesville Albemarle Airport,Charlottesville,VA
26,CHS,Charleston AFB/International Airport,Charleston,SC
27,CID,The Eastern Iowa Airport,Cedar Rapids/Iowa City,IA
28,CLE,Cleveland-Hopkins International Airport,Cleveland,OH
29,CLT,Charlotte Douglas International Airport,Charlotte,NC
30,CMH,John Glenn Columbus International Airport,Columbus,OH
31,CRW,Yeager Airport,Charleston/Dunbar,WV
32,CSG,Columbus Airport,Columbus,GA
33,CVG,Cincinnati/Northern Kentucky International Airport,Cincinnati,OH
34,CWA,Central Wisconsin Airport,Mosinee,WI
35,DAY,James M Cox/Dayton International Airport,Dayton,OH
36,DCA,Ronald Reagan Washington National Airport,Washington,DC
37,DHN,Dothan Regional Airport,Dothan,AL
38,DLH,Duluth International Airport,Duluth,MN
39,DSM,Des Moines International Airport,Des Moines,IA
40,DTW,Detroit Metro Wayne County Airport,Detroit,MI
41,EVV,Evansville Regional Airport,Evansville,IN
42,EWR,Newark Liberty International Airport,Newark,NJ
43,FAY,Fayetteville Regional/Grannis Field Airport,Fayetteville,NC
44,FSD,Joe Foss Field Airport,Sioux Falls,SD
45,FWA,Fort Wayne International Airport,Fort Wayne,IN
46,GNV,Gainesville Regional Airport,Gainesville,FL
47,GPT,Gulfport-Biloxi International Airport,Gulfport/Biloxi,MS
48,GRR,Gerald R. Ford International Airport,Grand Rapids,MI
49,GSO,Piedmont Triad International Airport,Greensboro/High Point,NC
50,GSP,Greenville-Spartanburg International Airport,Greer,SC
51,GTR,Golden Triangle Regional Airport,Columbus,MS
52,HPN,Westchester County Airport,White Plains,NY
53,IAD,Washington Dulles International Airport,Washington,DC
54,ILM,Wilmington International Airport,Wilmington,NC
55,IND,Indianapolis International Airport,Indianapolis,IN
56,ITH,Ithaca Tompkins Regional Airport,Ithaca/Cortland,NY
57,JFK,John F. Kennedy International Airport,New York,NY
58,LAN,Capital Region International Airport,Lansing,MI
59,LEX,Blue Grass Airport,Lexington,KY
60,LFT,Lafayette Regional Paul Fournet Field Airport,Lafayette,LA
61,LGA,LaGuardia Airport,New York,NY
62,MBS,MBS International Airport,Saginaw/Bay City/Midland,MI
63,MCI,Kansas City International Airport,Kansas City,MO
64,MEM,Memphis International Airport,Memphis,TN
65,MGM,Montgomery Regional Airport,Montgomery,AL
66,MKE,General Mitchell International Airport,Milwaukee,WI
67,MLI,Quad City International Airport,Moline,IL
68,MLU,Monroe Regional Airport,Monroe,LA
69,MOB,Mobile Regional Airport,Mobile,AL
70,MSN,Dane County Regional-Truax Field Airport,Madison,WI
71,MSP,Minneapolis-St Paul International Airport,Minneapolis,MN
72,MYR,Myrtle Beach International Airport,Myrtle Beach,SC
73,OAJ,Albert J Ellis Airport,Jacksonville/Camp Lejeune,NC
74,OMA,Eppley Airfield Airport,Omaha,NE
75,ORD,Chicago O'Hare International Airport,Chicago,IL
76,ORF,Norfolk International Airport,Norfolk,VA
77,ORH,Worcester Regional Airport,Worcester,MA
78,PHL,Philadelphia International Airport,Philadelphia,PA
79,PIT,Pittsburgh International Airport,Pittsburgh,PA
80,PVD,Theodore Francis Green State Airport,Providence,RI
81,PWM,Portland International Jetport Airport,Portland,ME
82,RDU,Raleigh-Durham International Airport,Raleigh/Durham,NC
83,RIC,Richmond International Airport,Richmond,VA
