airport_code,airport_type
ATL,Large Hub
DFW,Large Hub
DEN,Large Hub
ORD,Large Hub
LAX,Large Hub
CLT,Large Hub
MCO,Large Hub
LAS,Large Hub
PHX,Large Hub
MIA,Large Hub
SEA,Large Hub
IAH,Large Hub
JFK,Large Hub
EWR,Large Hub
FLL,Large Hub
MSP,Large Hub
SFO,Large Hub
DTW,Large Hub
BOS,Large Hub
SLC,Large Hub
PHL,Large Hub
BWI,Large Hub
TPA,Large Hub
SAN,Large Hub
LGA,Large Hub
MDW,Large Hub
BNA,Large Hub
IAD,Large Hub
DAL,Medium Hub
DCA,Medium Hub
PDX,Medium Hub
AUS,Medium Hub
HOU,Medium Hub
HNL,Medium Hub
STL,Medium Hub
RSW,Medium Hub
SMF,Medium Hub
MSY,Medium Hub
SJU,Medium Hub
RDU,Medium Hub
SJC,Medium Hub
OAK,Medium Hub
MCI,Medium Hub
CLE,Medium Hub
IND,Medium Hub
SAT,Medium Hub
SNA,Medium Hub
PIT,Medium Hub
CVG,Medium Hub
CMH,Medium Hub
PBI,Medium Hub
JAX,Medium Hub
MKE,Medium Hub
ONT,Medium Hub
ANC,Medium Hub
BDL,Medium Hub
OGG,Medium Hub
BUR,Medium Hub
OMA,Medium Hub
MEM,Medium Hub
BOI,Medium Hub
RNO,Medium Hub
CHS,Medium Hub
OKC,Medium Hub
